zone_id,fare_amount,has_congestion_surcharge,hour,weekday,is_weekend,zone_avg_flow,log_total_flow,log_mta_flow,log_taxi_flow,month,log_zone_avg_flow
0,20.60224175044423,0.9643214911809954,9,3,0,10867.795,9.317579122645782,9.280052984387485,6.018593214496234,2,9.293651118404544
1,19.515127980541735,0.9542415089447758,9,3,0,9444.543333333331,8.869960510523953,8.76170676846664,6.594413459749778,2,9.153298304308931
2,17.372794576492847,0.9642806743909684,9,3,0,23400.9175,10.114153582339226,10.086642095633977,6.508769136971682,2,10.060573242432977
3,24.001666666666665,0.8333333333333334,9,3,0,7103.988333333334,8.403352374992478,8.40178233990491,2.079441541679836,2,8.868552398493728
4,40.266666666666666,1.0,9,3,0,2577.4441666666667,7.638198244285779,7.636752112435779,1.3862943611198906,2,7.854941459840506
5,22.260954323325453,0.967687074829932,9,3,0,3283.1691666666666,6.8501261661455,6.049733455231958,6.255750041753367,2,8.096868981628875
6,25.01652014652015,0.9633699633699634,9,3,0,10956.8575,9.12923877053914,9.107864580386948,5.278114659230517,2,9.30181205781596
7,19.8298880341271,0.9443430172718746,9,3,0,25798.29833333333,10.353798548436128,10.319562839756308,6.963189985870238,2,10.158102574157452
8,20.28457093886506,0.963171935440843,9,3,0,9050.0175,8.99118884193151,8.929700114313448,6.173786103901937,2,9.110632461313314
9,20.891041666666663,0.9722222222222222,9,3,0,9860.788333333334,8.545197387825835,8.522578663692576,4.7535901911063645,2,9.196422803699688
10,21.511486298585137,0.9540250447227192,9,3,0,2146.8575,7.720905251936779,7.63433723562832,5.236441962829949,2,7.672226112645985
11,16.737910052910053,0.9666005291005292,9,3,0,8854.048333333334,8.66561319653451,8.620651899784468,5.545177444479562,2,9.088743008511845
12,20.689003267973856,0.9716386554621848,9,3,0,7488.388333333333,8.607764889600624,8.547916364059079,5.765191102784844,2,8.921242408735065
0,20.542778861371605,0.960008271298594,10,3,0,10867.795,8.82217476094608,8.750207862525711,6.156978985585555,2,9.293651118404544
1,20.18469519789576,0.9613753302739536,10,3,0,9444.543333333331,8.525161361065415,8.357024439263416,6.660575149839686,2,9.153298304308931
2,19.20315844878508,0.9692028985507248,10,3,0,23400.9175,9.60951909544164,9.564722689855031,6.483107351457199,2,10.060573242432977
3,19.784333333333333,0.9,10,3,0,7103.988333333334,8.284251797621916,8.278682162970906,3.1354942159291497,2,8.868552398493728
4,18.4,1.0,10,3,0,2577.4441666666667,7.07326971745971,7.065613363597717,2.302585092994046,2,7.854941459840506
5,20.93650365837866,0.9761160714285714,10,3,0,3283.1691666666666,7.02197642307216,6.359573868672378,6.298949246855942,2,8.096868981628875
6,22.59145833333333,0.9739583333333334,10,3,0,10956.8575,8.560827228436299,8.536407410340042,4.844187086458591,2,9.30181205781596
7,18.32430787482048,0.91756789837147,10,3,0,25798.29833333333,9.929398934320629,9.88067941321012,6.884486652042782,2,10.158102574157452
8,20.5728895386223,0.9124589490968802,10,3,0,9050.0175,8.555259392222693,8.470311205516108,6.049733455231958,2,9.110632461313314
9,21.677085137085136,0.9607683982683984,10,3,0,9860.788333333334,8.366370301681654,8.32239411311117,5.225746673713202,2,9.196422803699688
10,21.2899864024864,0.9923076923076924,10,3,0,2146.8575,7.275864600546533,7.134093721192866,5.2574953720277815,2,7.672226112645985
11,17.941789914066035,0.9776119402985076,10,3,0,8854.048333333334,8.302513718514158,8.21851757748959,5.786897381366708,2,9.088743008511845
12,19.99059615765498,0.9558823529411764,10,3,0,7488.388333333333,8.23323750070527,8.133000218583613,5.886104031450156,2,8.921242408735065
0,19.968009453781512,0.969427386339151,11,3,0,10867.795,8.742893471512136,8.66785206770135,6.118097198041348,2,9.293651118404544
1,19.84023107644705,0.9551299283154122,11,3,0,9444.543333333331,8.628376720376853,8.4767877767812,6.668228248417403,2,9.153298304308931
2,21.141456880716746,0.9682741769547324,11,3,0,23400.9175,9.552794680274944,9.499945593989812,6.587550014824796,2,10.060573242432977
3,15.6,1.0,11,3,0,7103.988333333334,8.3774712482411,8.376320632534823,1.791759469228055,2,8.868552398493728
4,24.245,1.0,11,3,0,2577.4441666666667,7.143617602704121,7.1308988302963465,2.833213344056216,2,7.854941459840506
5,23.826061001644074,0.9616421568627452,11,3,0,3283.1691666666666,7.271703706887368,6.617402977974478,6.539585955617669,2,8.096868981628875
6,23.752422480620154,0.9709302325581396,11,3,0,10956.8575,8.603187384583098,8.567886305731756,5.247024072160486,2,9.30181205781596
7,19.508819463223052,0.9543343653250774,11,3,0,25798.29833333333,9.840174946324362,9.79138211875182,6.796823718274855,2,10.158102574157452
8,20.833087145587147,0.9166952666952668,11,3,0,9050.0175,8.48879371689454,8.401333305321703,6.0112671744041615,2,9.110632461313314
9,21.22614357864358,0.9714285714285712,11,3,0,9860.788333333334,8.47595444339964,8.439880088313567,5.14166355650266,2,9.196422803699688
10,23.904444444444447,0.8783895502645502,11,3,0,2146.8575,7.172424577124845,7.01301578963963,5.262690188904886,2,7.672226112645985
11,18.084634703196347,0.9703196347031964,11,3,0,8854.048333333334,8.348301054933943,8.269500767180615,5.771441123130016,2,9.088743008511845
12,22.78942615643943,0.9403286978508216,11,3,0,7488.388333333333,8.278682162970906,8.18757739559151,5.840641657373398,2,8.921242408735065
0,20.408945346320348,0.9553571428571428,12,3,0,10867.795,8.764365720529808,8.678801706612651,6.26530121273771,2,9.293651118404544
1,21.156924149720027,0.9344709329318024,12,3,0,9444.543333333331,8.79966169681513,8.66406026722579,6.735780014242327,2,9.153298304308931
2,19.87050588802599,0.9193924166285976,12,3,0,23400.9175,9.677151410322754,9.63135069141981,6.572282542694008,2,10.060573242432977
3,24.968070175438594,0.7894736842105263,12,3,0,7103.988333333334,8.522777569710138,8.516392871245468,3.49650756146648,2,8.868552398493728
4,19.92727272727273,1.0,12,3,0,2577.4441666666667,7.368339686311381,7.358193752733032,2.833213344056216,2,7.854941459840506
5,22.06033781754296,0.9857391183423724,12,3,0,3283.1691666666666,7.438971592395862,6.961296045910167,6.472346294500901,2,8.096868981628875
6,21.749578754578756,0.9652014652014652,12,3,0,10956.8575,8.752897524775305,8.718990524710849,5.356586274672012,2,9.30181205781596
7,19.63415596058761,0.9395475258046676,12,3,0,25798.29833333333,9.903437551286084,9.847551920205824,6.992096427415888,2,10.158102574157452
8,21.611304017619805,0.9259189640768588,12,3,0,9050.0175,8.607216694063826,8.508757712595136,6.2422232654551655,2,9.110632461313314
9,20.27944687257187,0.9702020202020202,12,3,0,9860.788333333334,8.754160749323518,8.716699572964293,5.455321115357702,2,9.196422803699688
10,22.36278566919192,0.9494949494949496,12,3,0,2146.8575,7.203405521083095,7.026426808699636,5.389071729816501,2,7.672226112645985
11,17.18178125,0.9602083333333332,12,3,0,8854.048333333334,8.576405051048084,8.501876487304344,5.945420608606575,2,9.088743008511845
12,21.269019607843138,0.9677871148459384,12,3,0,7488.388333333333,8.394121193826242,8.307705966549513,5.905361848054571,2,8.921242408735065
0,20.269625482055307,0.9583873263405428,13,3,0,10867.795,8.87458787627932,8.799058378546453,6.255750041753367,2,9.293651118404544
1,21.48279431965097,0.9608932100270684,13,3,0,9444.543333333331,8.872627365918836,8.740176729929082,6.786716950605081,2,9.153298304308931
2,20.82948738924091,0.9674731893041753,13,3,0,23400.9175,9.73050227671916,9.682591473762397,6.669498089857879,2,10.060573242432977
3,26.41941176470588,0.7647058823529411,13,3,0,7103.988333333334,8.61974977974133,8.615770754777232,3.1354942159291497,2,8.868552398493728
4,27.55,1.0,13,3,0,2577.4441666666667,7.44600149832412,7.434847875211999,2.995732273553991,2,7.854941459840506
5,23.28322339143628,0.9614460724460724,13,3,0,3283.1691666666666,7.56734567601324,7.102499355774649,6.579251212010101,2,8.096868981628875
6,25.95254716981132,0.9284591194968554,13,3,0,10956.8575,8.891098830616636,8.855663430700124,5.537334267018537,2,9.30181205781596
7,19.247658837711747,0.9763527905986006,13,3,0,25798.29833333333,9.962180898875346,9.910214873285554,6.980075940561763,2,10.158102574157452
8,20.572907578647246,0.9323065364387678,13,3,0,9050.0175,8.667335849845957,8.580731212220226,6.180016653652572,2,9.110632461313314
9,20.356042802876136,0.9617412217412216,13,3,0,9860.788333333334,8.926783114101351,8.887100204123687,5.683579767338681,2,9.196422803699688
10,24.14942948717949,0.8467948717948718,13,3,0,2146.8575,7.254177846456518,7.114769448366463,5.220355825078324,2,7.672226112645985
11,17.56130412371134,0.9594501718213058,13,3,0,8854.048333333334,8.826147399143558,8.747510946478448,6.246106765481563,2,9.088743008511845
12,21.371567411259377,0.9436584249084248,13,3,0,7488.388333333333,8.508959386489133,8.420902531097951,6.037870919922137,2,8.921242408735065
0,20.77426636813479,0.9408521303258146,14,3,0,10867.795,9.13637085177601,9.079092085366227,6.249975242259483,2,9.293651118404544
1,20.467750607735447,0.9588367724221944,14,3,0,9444.543333333331,9.227492430793747,9.125544720271469,6.894670039433482,2,9.153298304308931
2,21.293384740628102,0.9638221660345554,14,3,0,23400.9175,9.947265174882016,9.9045370016717,6.774223886357614,2,10.060573242432977
3,22.11,1.0,14,3,0,7103.988333333334,8.908694592507015,8.90734159541251,2.3978952727983707,2,8.868552398493728
4,29.30114942528736,0.9655172413793104,14,3,0,2577.4441666666667,7.645875825184813,7.621684998724611,3.9318256327243257,2,7.854941459840506
5,23.369981774585348,0.9417611328783878,14,3,0,3283.1691666666666,7.872836175025724,7.4999765409521215,6.706862336602747,2,8.096868981628875
6,25.051688218390805,0.9619252873563218,14,3,0,10956.8575,9.147720009994517,9.123256265069069,5.429345628954441,2,9.30181205781596
7,20.82527753202203,0.9285117390223956,14,3,0,25798.29833333333,10.199844390177743,10.156500537452615,7.040536390215956,2,10.158102574157452
8,22.39451415519964,0.922983870967742,14,3,0,9050.0175,8.889859587773016,8.815815203906352,6.251903883165888,2,9.110632461313314
9,22.346348254919683,0.9692351299494156,14,3,0,9860.788333333334,9.144093726157257,9.11591979635669,5.564520407322694,2,9.196422803699688
10,24.946056998557,0.895402815214136,14,3,0,2146.8575,7.585788821732034,7.434847875211999,5.6240175061873385,2,7.672226112645985
11,17.241116666666667,0.9632017543859648,14,3,0,8854.048333333334,8.945984124827898,8.882669291308039,6.156978985585555,2,9.088743008511845
12,19.456790043290045,0.9099173553719008,14,3,0,7488.388333333333,8.87346805533363,8.81358720447004,6.030685260261263,2,8.921242408735065
0,20.294582927225477,0.9606481481481484,15,3,0,10867.795,9.306922469822426,9.26226846483654,6.1779441140506,2,9.293651118404544
1,21.547826315334767,0.9713956687777224,15,3,0,9444.543333333331,9.574080300037034,9.504203303503044,6.879355804460439,2,9.153298304308931
2,19.95110450000318,0.9293580868470736,15,3,0,23400.9175,10.235413757309422,10.208837622641315,6.595780513961311,2,10.060573242432977
3,25.64583333333333,0.9166666666666666,15,3,0,7103.988333333334,9.176990392294629,9.174609562020384,3.1780538303479458,2,8.868552398493728
4,28.38214285714286,0.7857142857142857,15,3,0,2577.4441666666667,8.186742787113518,8.18060094759445,3.1354942159291497,2,7.854941459840506
5,23.085317355405596,0.9656453156453156,15,3,0,3283.1691666666666,8.144098463338524,7.881559917056899,6.679599185844383,2,8.096868981628875
6,25.3129530651341,0.9652298850574712,15,3,0,10956.8575,9.574844587029247,9.558811758564229,5.438079308923196,2,9.30181205781596
7,20.67993455440971,0.9486448813532148,15,3,0,25798.29833333333,10.517077324312648,10.47872356423098,7.237778191923443,2,10.158102574157452
8,22.535359802234805,0.952579365079365,15,3,0,9050.0175,9.127284796838858,9.071308163280625,6.218600119691729,2,9.110632461313314
9,18.059339115232596,0.9725,15,3,0,9860.788333333334,9.484557193474393,9.464362242935328,5.575949103146316,2,9.196422803699688
10,25.488250871521725,0.8245956873315364,15,3,0,2146.8575,7.966239776559467,7.857093864902493,5.700443573390687,2,7.672226112645985
11,19.145238095238096,0.9629629629629628,15,3,0,8854.048333333334,9.281637253858216,9.242032818708672,6.035481432524756,2,9.088743008511845
12,21.21563975996903,0.9581881533101044,15,3,0,7488.388333333333,9.244935016740682,9.2057297594185,5.988961416889864,2,8.921242408735065
0,21.138106277560823,0.9528274755547484,16,3,0,10867.795,9.584727524513486,9.546169544733283,6.311734809152915,2,9.293651118404544
1,22.420172622393203,0.9403208978790376,16,3,0,9444.543333333331,9.71063069382679,9.658417870888224,6.733401891837359,2,9.153298304308931
2,19.53286132351553,0.941460836671117,16,3,0,23400.9175,10.443366996692856,10.416849955954088,6.80128303447162,2,10.060573242432977
3,27.343125,0.75,16,3,0,7103.988333333334,9.33679679592874,9.335121088873487,2.995732273553991,2,8.868552398493728
4,26.37080459770115,0.8620689655172413,16,3,0,2577.4441666666667,8.464635940677562,8.454892165218858,3.8501476017100575,2,7.854941459840506
5,24.0281587901005,0.9591756902838088,16,3,0,3283.1691666666666,8.636929873018572,8.458504195067558,6.826545223556594,2,8.096868981628875
6,27.38585758377425,0.8641975308641975,16,3,0,10956.8575,9.942275479743389,9.929739923680192,5.560681631015528,2,9.30181205781596
7,22.942423983222543,0.927103664885557,16,3,0,25798.29833333333,10.60633750855746,10.578979797857352,6.994849985833071,2,10.158102574157452
8,20.477542617365927,0.9267991407089152,16,3,0,9050.0175,9.54987932996818,9.513108081846005,6.230481447578482,2,9.110632461313314
9,19.19523110839777,0.9251851851851852,16,3,0,9860.788333333334,9.819942886825784,9.80543361206074,5.583496308781699,2,9.196422803699688
