place_id,category,estimated_duration,lat,lon,place_name,zone_id
529,cafe,1,40.713728,-74.008434,Takahachi Bakery,0
537,restaurant,1,40.714424,-73.998888,Shanghai 21,0
539,restaurant,1,40.713865,-73.998798,Buddha Bodai,0
550,restaurant,1,40.719376,-74.006475,Butterfly,0
560,fast_food,1,40.706971,-74.006878,Dos Toros Taqueria,0
561,fast_food,1,40.709867,-74.007986,7th Street Burger,0
563,cafe,1,40.709679,-74.008382,d Elici,0
565,restaurant,1,40.70932,-74.008734,Otani,0
567,restaurant,1,40.709949,-74.010067,Bento Sushi,0
569,cafe,1,40.718265,-74.007295,Starbucks,0
570,restaurant,1,40.718446,-74.007236,Square Diner,0
573,museum,1.5,40.706628,-74.003676,South Street Seaport Museum,0
577,cafe,1,40.70658,-74.005035,Flavors,0
580,restaurant,1,40.715566,-73.998017,New Green Bo,0
585,restaurant,1,40.705985,-74.0171,Inatesso,0
587,restaurant,1,40.705318,-74.010099,Open Kitchen,0
588,cafe,1,40.706203,-74.011905,Bluestone Lane Coffee,0
589,fast_food,1,40.709698,-74.006443,Chipotle,0
591,fast_food,1,40.709904,-74.006202,Bare Burger,0
612,attraction,1.5,40.724865,-74.01186,Pier 32,0
613,art,0.8,40.724184,-74.011912,Twister,0
616,art,0.8,40.72287,-74.012153,Offshoot,0
626,art,0.8,40.708967,-74.010929,Joie de Vivre,0
632,restaurant,1,40.706024,-74.01024,Cucina Bene Pizza,0
634,restaurant,1,40.703777,-74.010399,Nara Sushi,0
638,restaurant,1,40.706525,-74.007149,Roti,0
643,fast_food,1,40.714402,-74.005909,Potbelly,0
646,restaurant,1,40.712031,-74.009755,Stage Door Deli,0
695,fast_food,1,40.704905,-74.012531,Burger King,0
696,restaurant,1,40.70435,-74.01046,The Cauldron,0
701,art,0.8,40.707774,-74.008066,Shadows and Flags,0
702,art,0.8,40.703482,-74.01052,Coenties Ship,0
706,restaurant,1,40.716587,-74.007926,Takahachi,0
708,art,0.8,40.707727,-74.006804,Two,0
713,restaurant,1,40.716357,-73.999174,Bodhi,0
715,restaurant,1,40.707384,-74.012574,Variety Cafe,0
716,cafe,1,40.712179,-74.008181,Starbucks,0
717,bakery,1,40.715618,-73.998171,Simply Bakery,0
720,bakery,1,40.715518,-73.99789,Mei Lai Wah,0
724,fast_food,1,40.71599,-74.010006,I Pizza NY,0
726,cafe,1,40.719225,-74.006697,Gotan,0
728,fast_food,1,40.711981,-73.998824,24 Hour Deli,0
733,attraction,1.5,40.712949,-74.013044,One World Observatory,0
735,art,0.8,40.7127,-74.002936,5 in 1,0
736,gift,0.5,40.713346,-74.003592,City Store,0
738,restaurant,1,40.709777,-74.008915,Aroy Dee Thai Kitchen,0
739,restaurant,1,40.714425,-73.998197,Pulqueria,0
744,restaurant,1,40.714638,-73.998557,Peking Duck House,0
747,fast_food,1,40.706377,-74.012633,Pret A Manger,0
748,restaurant,1,40.708081,-74.018207,Ningbo Cafe,0
749,restaurant,1,40.705008,-74.01819,Gigino at Wagner Park,0
750,restaurant,1,40.714459,-73.998197,Nom Wah Tea Parlor,0
751,restaurant,1,40.716163,-73.997946,Tipsy Shanghai,0
754,fast_food,1,40.721335,-74.009768,Sweetgreen,0
755,cafe,1,40.713751,-73.998514,10 Below Ice Cream,0
759,fast_food,1,40.710506,-74.007566,Pisillo Italian Panini,0
760,attraction,1.5,40.715626,-73.998472,Chinatown,0
762,library,1.5,40.703808,-74.008099,Foundation Center,0
767,art,0.8,40.703628,-74.014534,John Ericsson,0
