date,hour,weekday,zone_id,day,month,avg_mta_flow,avg_taxi_flow,log_mta_flow,log_taxi_flow,zone_avg_flow,log_zone_avg_flow,lat,lon
2024-02-01,12,3,2,1,2,15234.0,714.0,9.63135069141981,6.5722825426940075,15948.0,9.677151410322754,40.7484,-73.9857
2024-02-01,12,3,3,1,2,4995.0,32.0,8.516392871245468,3.4965075614664802,5027.0,8.522777569710138,40.7061,-73.9969
2024-02-01,12,3,4,1,2,1568.0,16.0,7.358193752733032,2.833213344056216,1584.0,7.368339686311381,40.7033,-74.017
2024-02-01,12,3,5,1,2,1054.0,646.0,6.961296045910167,6.472346294500901,1700.0,7.438971592395862,40.7587,-73.9787
2024-02-01,12,3,6,1,2,6117.0,211.0,8.718990524710849,5.356586274672012,6328.0,8.752897524775305,40.7127,-74.0134
2024-02-01,12,3,7,1,2,18911.0,1087.0,9.847551920205825,6.992096427415888,19998.0,9.903437551286085,40.7794,-73.9632
2024-02-01,12,3,8,1,2,4957.0,513.0,8.508757712595136,6.2422232654551655,5470.0,8.607216694063826,40.7527,-73.9772
2024-02-01,12,3,9,1,2,6103.0,233.0,8.716699572964293,5.455321115357702,6336.0,8.754160749323518,40.7614,-73.9776
2024-02-01,12,3,10,1,2,1125.0,218.0,7.026426808699636,5.389071729816501,1343.0,7.203405521083095,40.7614,-73.9496
2024-02-01,12,3,11,1,2,4923.0,381.0,8.501876487304344,5.945420608606575,5304.0,8.576405051048084,40.728,-74.011
2024-02-01,12,3,12,1,2,4054.0,366.0,8.307705966549513,5.905361848054571,4420.0,8.394121193826242,40.7479,-74.0049
2024-02-01,13,3,0,1,2,6627.0,520.0,8.799058378546453,6.255750041753367,7147.0,8.87458787627932,40.758,-73.9855
2024-02-01,13,3,1,1,2,6248.0,885.0,8.740176729929082,6.786716950605081,7133.0,8.872627365918836,40.7678,-73.9718
2024-02-01,13,3,2,1,2,16035.0,787.0,9.682591473762397,6.669498089857879,16822.0,9.730502276719161,40.7484,-73.9857
2024-02-01,13,3,3,1,2,5517.0,22.0,8.615770754777232,3.1354942159291497,5539.0,8.61974977974133,40.7061,-73.9969
2024-02-01,13,3,4,1,2,1693.0,19.0,7.434847875211999,2.995732273553991,1712.0,7.44600149832412,40.7033,-74.017
2024-02-01,13,3,5,1,2,1214.0,719.0,7.102499355774649,6.579251212010101,1933.0,7.56734567601324,40.7587,-73.9787
2024-02-01,13,3,6,1,2,7013.0,253.0,8.855663430700124,5.537334267018537,7266.0,8.891098830616636,40.7127,-74.0134
2024-02-01,13,3,7,1,2,20134.0,1074.0,9.910214873285554,6.980075940561763,21208.0,9.962180898875346,40.7794,-73.9632
2024-02-01,13,3,8,1,2,5327.0,482.0,8.580731212220226,6.180016653652572,5809.0,8.667335849845957,40.7527,-73.9772
2024-02-01,13,3,9,1,2,7237.0,293.0,8.887100204123687,5.683579767338681,7530.0,8.926783114101351,40.7614,-73.9776
2024-02-01,13,3,10,1,2,1229.0,184.0,7.114769448366463,5.220355825078324,1413.0,7.254177846456518,40.7614,-73.9496
2024-02-01,13,3,11,1,2,6294.0,515.0,8.747510946478448,6.246106765481563,6809.0,8.826147399143558,40.728,-74.011
2024-02-01,13,3,12,1,2,4540.0,418.0,8.420902531097951,6.037870919922137,4958.0,8.508959386489133,40.7479,-74.0049
2024-02-01,14,3,0,1,2,8769.0,517.0,9.079092085366229,6.249975242259483,9286.0,9.13637085177601,40.758,-73.9855
2024-02-01,14,3,1,1,2,9186.0,986.0,9.125544720271467,6.894670039433482,10172.0,9.227492430793749,40.7678,-73.9718
2024-02-01,14,3,2,1,2,20020.0,874.0,9.904537001671699,6.774223886357614,20894.0,9.947265174882016,40.7484,-73.9857
2024-02-01,14,3,3,1,2,7385.0,10.0,8.90734159541251,2.3978952727983707,7395.0,8.908694592507015,40.7061,-73.9969
2024-02-01,14,3,4,1,2,2041.0,50.0,7.621684998724611,3.9318256327243257,2091.0,7.645875825184813,40.7033,-74.017
2024-02-01,14,3,5,1,2,1807.0,817.0,7.4999765409521215,6.706862336602747,2624.0,7.872836175025724,40.7587,-73.9787
2024-02-01,14,3,6,1,2,9165.0,227.0,9.123256265069069,5.429345628954441,9392.0,9.147720009994515,40.7127,-74.0134
2024-02-01,14,3,7,1,2,25757.0,1141.0,10.156500537452615,7.040536390215956,26898.0,10.199844390177743,40.7794,-73.9632
2024-02-01,14,3,8,1,2,6739.0,518.0,8.815815203906352,6.251903883165888,7257.0,8.889859587773016,40.7527,-73.9772
2024-02-01,14,3,9,1,2,9098.0,260.0,9.11591979635669,5.564520407322694,9358.0,9.144093726157257,40.7614,-73.9776
2024-02-01,14,3,10,1,2,1693.0,276.0,7.434847875211999,5.6240175061873385,1969.0,7.585788821732034,40.7614,-73.9496
2024-02-01,14,3,11,1,2,7205.0,471.0,8.882669291308039,6.156978985585555,7676.0,8.945984124827898,40.728,-74.011
2024-02-01,14,3,12,1,2,6724.0,415.0,8.81358720447004,6.030685260261263,7139.0,8.87346805533363,40.7479,-74.0049
2024-02-01,15,3,0,1,2,10532.0,481.0,9.262268464836541,6.1779441140506,11013.0,9.306922469822426,40.758,-73.9855
2024-02-01,15,3,1,1,2,13415.0,971.0,9.504203303503045,6.879355804460439,14386.0,9.574080300037034,40.7678,-73.9718
2024-02-01,15,3,2,1,2,27141.0,731.0,10.208837622641315,6.595780513961311,27872.0,10.235413757309422,40.7484,-73.9857
2024-02-01,15,3,3,1,2,9648.0,23.0,9.174609562020384,3.1780538303479458,9671.0,9.176990392294629,40.7061,-73.9969
2024-02-01,15,3,4,1,2,3570.0,22.0,8.18060094759445,3.1354942159291497,3592.0,8.186742787113518,40.7033,-74.017
2024-02-01,15,3,5,1,2,2647.0,795.0,7.881559917056899,6.679599185844383,3442.0,8.144098463338524,40.7587,-73.9787
2024-02-01,15,3,6,1,2,14168.0,229.0,9.558811758564227,5.438079308923196,14397.0,9.574844587029249,40.7127,-74.0134
2024-02-01,15,3,7,1,2,35550.0,1390.0,10.47872356423098,7.237778191923443,36940.0,10.517077324312647,40.7794,-73.9632
2024-02-01,15,3,8,1,2,8701.0,501.0,9.071308163280625,6.218600119691729,9202.0,9.127284796838858,40.7527,-73.9772
2024-02-01,15,3,9,1,2,12891.0,263.0,9.464362242935328,5.575949103146316,13154.0,9.484557193474393,40.7614,-73.9776
2024-02-01,15,3,10,1,2,2583.0,298.0,7.857093864902493,5.700443573390687,2881.0,7.966239776559467,40.7614,-73.9496
2024-02-01,15,3,11,1,2,10321.0,417.0,9.242032818708672,6.035481432524756,10738.0,9.281637253858216,40.728,-74.011
2024-02-01,15,3,12,1,2,9953.0,398.0,9.2057297594185,5.988961416889864,10351.0,9.244935016740682,40.7479,-74.0049
2024-02-01,16,3,0,1,2,13990.0,550.0,9.546169544733285,6.311734809152915,14540.0,9.584727524513486,40.758,-73.9855
2024-02-01,16,3,1,1,2,15652.0,839.0,9.658417870888224,6.733401891837359,16491.0,9.71063069382679,40.7678,-73.9718
2024-02-01,16,3,2,1,2,33417.0,898.0,10.416849955954088,6.80128303447162,34315.0,10.443366996692856,40.7484,-73.9857
2024-02-01,16,3,3,1,2,11328.0,19.0,9.335121088873489,2.995732273553991,11347.0,9.336796795928741,40.7061,-73.9969
2024-02-01,16,3,4,1,2,4697.0,46.0,8.454892165218858,3.8501476017100584,4743.0,8.464635940677562,40.7033,-74.017
2024-02-01,16,3,5,1,2,4714.0,921.0,8.458504195067558,6.826545223556594,5635.0,8.636929873018572,40.7587,-73.9787
2024-02-01,16,3,6,1,2,20531.0,259.0,9.929739923680193,5.560681631015528,20790.0,9.942275479743389,40.7127,-74.0134
2024-02-01,16,3,7,1,2,39299.0,1090.0,10.578979797857352,6.994849985833071,40389.0,10.60633750855746,40.7794,-73.9632
2024-02-01,16,3,8,1,2,13535.0,507.0,9.513108081846005,6.230481447578482,14042.0,9.54987932996818,40.7527,-73.9772
2024-02-01,16,3,9,1,2,18131.0,265.0,9.80543361206074,5.583496308781699,18396.0,9.819942886825784,40.7614,-73.9776
2024-02-01,16,3,10,1,2,3080.0,273.0,8.033009498596668,5.6131281063880705,3353.0,8.117908942383155,40.7614,-73.9496
2024-02-01,16,3,11,1,2,13501.0,402.0,9.510593101601815,5.998936561946683,13903.0,9.539931847505173,40.728,-74.011
2024-02-01,16,3,12,1,2,11259.0,415.0,9.329011901693681,6.030685260261263,11674.0,9.365205082537098,40.7479,-74.0049
2024-02-01,17,3,0,1,2,22076.0,668.0,10.00229162159471,6.505784060128229,22744.0,10.032100620004105,40.758,-73.9855
2024-02-01,17,3,1,1,2,18844.0,1003.0,9.844002905701236,6.911747300251674,19847.0,9.895858525371636,40.7678,-73.9718
2024-02-01,17,3,2,1,2,47787.0,1058.0,10.774529840937115,6.9650803456014065,48845.0,10.796427770802033,40.7484,-73.9857
2024-02-01,17,3,3,1,2,13494.0,26.0,9.510074525452104,3.295836866004329,13520.0,9.511999311358759,40.7061,-73.9969
2024-02-01,17,3,4,1,2,6529.0,58.0,8.784162222270476,4.07753744390572,6587.0,8.79300509129753,40.7033,-74.017
2024-02-01,17,3,5,1,2,9443.0,1094.0,9.153134898205403,6.9985096422506015,10537.0,9.262743050769231,40.7587,-73.9787
2024-02-01,17,3,6,1,2,32086.0,384.0,10.376206242666091,5.953243334287785,32470.0,10.388102662282032,40.7127,-74.0134
2024-02-01,17,3,7,1,2,41473.0,1354.0,10.632822003857786,7.2115567333138015,42827.0,10.66494737327816,40.7794,-73.9632
2024-02-01,17,3,8,1,2,24764.0,589.0,10.117186645022338,6.380122536899765,25353.0,10.140691787498673,40.7527,-73.9772
2024-02-01,17,3,9,1,2,27197.0,289.0,10.210898720168904,5.66988092298052,27486.0,10.221468444611173,40.7614,-73.9776
2024-02-01,17,3,10,1,2,3725.0,247.0,8.223090551161533,5.5134287461649825,3972.0,8.287276755814599,40.7614,-73.9496
2024-02-01,17,3,11,1,2,17939.0,453.0,9.794788135612787,6.118097198041348,18392.0,9.819725436430797,40.728,-74.011
2024-02-01,17,3,12,1,2,15325.0,568.0,9.637306011530349,6.343880434126331,15893.0,9.673696958500125,40.7479,-74.0049
2024-02-02,9,4,0,2,2,7785.0,507.0,8.960082528170402,6.230481447578482,8292.0,9.023167064451204,40.758,-73.9855
2024-02-02,9,4,1,2,2,4534.0,696.0,8.419580362549237,6.546785410760524,5230.0,8.562357743370612,40.7678,-73.9718
2024-02-02,9,4,2,2,2,15924.0,665.0,9.675645480440364,6.501289670540389,16589.0,9.71655538318449,40.7484,-73.9857
2024-02-02,9,4,3,2,2,3994.0,6.0,8.292798858200374,1.9459101490553132,4000.0,8.294299608857235,40.7061,-73.9969
2024-02-02,9,4,4,2,2,1651.0,7.0,7.409741954080923,2.0794415416798357,1658.0,7.413970290190444,40.7033,-74.017
2024-02-02,9,4,5,2,2,529.0,456.0,6.272877006546167,6.124683390894205,985.0,6.893656354602635,40.7587,-73.9787
2024-02-02,9,4,6,2,2,5647.0,118.0,8.639056779173078,4.77912349311153,5765.0,8.659733878198347,40.7127,-74.0134
2024-02-02,9,4,7,2,2,23946.0,1094.0,10.083598334032917,6.9985096422506015,25040.0,10.128269760518846,40.7794,-73.9632
2024-02-02,9,4,8,2,2,5043.0,403.0,8.52595469708481,6.0014148779611505,5446.0,8.602820277383675,40.7527,-73.9772
